order_id,order_date,customer_id,product_id,quantity,discount
O5001,2024-01-12,C001,P101,1,0.05
O5002,2024-01-18,C002,P102,2,0.1
O5003,2024-02-02,C003,P103,4,0.0
O5004,2024-02-20,C004,P105,2,0.08
O5005,2024-03-05,C005,P106,1,0.12
O5006,2024-03-14,C001,P104,3,0.05
O5007,2024-04-01,C006,P103,5,0.0
O5008,2024-04-11,C002,P101,1,0.07
O5009,2024-05-09,C003,P102,1,0.1
O5010,2024-05-19,C004,P104,2,0.0
O5011,2024-06-03,C005,P105,1,0.05
O5012,2024-06-22,C006,P106,2,0.08
O5013,2024-06-25,C007,P107,3,
O5013,2024-06-25,C007,P107,3,
